,Time,Event,Part,Process,Machine
0,0.0,Part Created,Source_jobtype1_0,Source_jobtype1,
1,0.0,Routing Start,Source_jobtype1_0,Source_jobtype1,
2,0.0,Routing Finish,Source_jobtype1_0,M1,
3,0.0,Part transferred,Source_jobtype1_0,M1,
4,0.0,Ops1-1 Start,Source_jobtype1_0,M1,
5,28.156085398611545,Part Created,Source_jobtype1_1,Source_jobtype1,
6,28.156085398611545,Routing Start,Source_jobtype1_1,Source_jobtype1,
7,28.156085398611545,Routing Finish,Source_jobtype1_1,M1,
8,107.16082701133851,Part Created,Source_jobtype1_2,Source_jobtype1,
9,107.16082701133851,Routing Start,Source_jobtype1_2,Source_jobtype1,
10,107.16082701133851,Routing Finish,Source_jobtype1_2,M1,
11,150.50607154587604,Ops1-1 Finish,Source_jobtype1_0,M1,
12,150.50607154587604,Routing Start,Source_jobtype1_0,M1,
13,150.50607154587604,Part Completed,Source_jobtype1_0,Sink,
14,150.50607154587604,Part transferred,Source_jobtype1_1,M1,
15,150.50607154587604,Ops1-1 Start,Source_jobtype1_1,M1,
16,158.98731506899335,Ops1-1 Finish,Source_jobtype1_1,M1,
17,158.98731506899335,Routing Start,Source_jobtype1_1,M1,
18,158.98731506899335,Part Completed,Source_jobtype1_1,Sink,
19,158.98731506899335,Part transferred,Source_jobtype1_2,M1,
20,158.98731506899335,Ops1-1 Start,Source_jobtype1_2,M1,
21,161.9373802378957,Part Created,Source_jobtype1_3,Source_jobtype1,
22,161.9373802378957,Routing Start,Source_jobtype1_3,Source_jobtype1,
23,161.9373802378957,Routing Finish,Source_jobtype1_3,M1,
24,165.52770635441652,Part Created,Source_jobtype1_4,Source_jobtype1,
25,165.52770635441652,Routing Start,Source_jobtype1_4,Source_jobtype1,
26,165.52770635441652,Routing Finish,Source_jobtype1_4,M1,
27,167.46712966472361,Ops1-1 Finish,Source_jobtype1_2,M1,
28,167.46712966472361,Routing Start,Source_jobtype1_2,M1,
29,167.46712966472361,Part Completed,Source_jobtype1_2,Sink,
30,167.46712966472361,Part transferred,Source_jobtype1_3,M1,
31,167.46712966472361,Ops1-1 Start,Source_jobtype1_3,M1,
32,213.42123734608685,Ops1-1 Finish,Source_jobtype1_3,M1,
33,213.42123734608685,Routing Start,Source_jobtype1_3,M1,
34,213.42123734608685,Part Completed,Source_jobtype1_3,Sink,
35,213.42123734608685,Part transferred,Source_jobtype1_4,M1,
36,213.42123734608685,Ops1-1 Start,Source_jobtype1_4,M1,
37,274.9837404313164,Ops1-1 Finish,Source_jobtype1_4,M1,
38,274.9837404313164,Routing Start,Source_jobtype1_4,M1,
39,274.9837404313164,Part Completed,Source_jobtype1_4,Sink,
40,286.2015582232129,Part Created,Source_jobtype1_5,Source_jobtype1,
41,286.2015582232129,Routing Start,Source_jobtype1_5,Source_jobtype1,
42,286.2015582232129,Routing Finish,Source_jobtype1_5,M1,
43,286.2015582232129,Part transferred,Source_jobtype1_5,M1,
44,286.2015582232129,Ops1-1 Start,Source_jobtype1_5,M1,
45,287.4495167031612,Part Created,Source_jobtype1_6,Source_jobtype1,
46,287.4495167031612,Routing Start,Source_jobtype1_6,Source_jobtype1,
47,287.4495167031612,Routing Finish,Source_jobtype1_6,M1,
48,394.6352893044417,Part Created,Source_jobtype1_7,Source_jobtype1,
49,394.6352893044417,Routing Start,Source_jobtype1_7,Source_jobtype1,
50,394.6352893044417,Routing Finish,Source_jobtype1_7,M1,
51,408.9565468193785,Part Created,Source_jobtype1_8,Source_jobtype1,
52,408.9565468193785,Routing Start,Source_jobtype1_8,Source_jobtype1,
53,408.9565468193785,Routing Finish,Source_jobtype1_8,M1,
54,420.9972861443583,Part Created,Source_jobtype1_9,Source_jobtype1,
55,420.9972861443583,Routing Start,Source_jobtype1_9,Source_jobtype1,
56,420.9972861443583,Routing Finish,Source_jobtype1_9,M1,
57,433.15397151429374,Part Created,Source_jobtype1_10,Source_jobtype1,
58,433.15397151429374,Routing Start,Source_jobtype1_10,Source_jobtype1,
59,433.15397151429374,Routing Finish,Source_jobtype1_10,M1,
60,454.9191952819224,Part Created,Source_jobtype1_11,Source_jobtype1,
61,454.9191952819224,Routing Start,Source_jobtype1_11,Source_jobtype1,
62,454.9191952819224,Routing Finish,Source_jobtype1_11,M1,
63,461.3794319811285,Ops1-1 Finish,Source_jobtype1_5,M1,
64,461.3794319811285,Routing Start,Source_jobtype1_5,M1,
65,461.3794319811285,Part Completed,Source_jobtype1_5,Sink,
66,461.3794319811285,Part transferred,Source_jobtype1_6,M1,
67,461.3794319811285,Ops1-1 Start,Source_jobtype1_6,M1,
68,489.65628532014534,Ops1-1 Finish,Source_jobtype1_6,M1,
69,489.65628532014534,Routing Start,Source_jobtype1_6,M1,
70,489.65628532014534,Part Completed,Source_jobtype1_6,Sink,
71,489.65628532014534,Part transferred,Source_jobtype1_7,M1,
72,489.65628532014534,Ops1-1 Start,Source_jobtype1_7,M1,
73,499.5548651335736,Part Created,Source_jobtype1_12,Source_jobtype1,
74,499.5548651335736,Routing Start,Source_jobtype1_12,Source_jobtype1,
75,499.5548651335736,Routing Finish,Source_jobtype1_12,M1,
76,506.8674349478424,Ops1-1 Finish,Source_jobtype1_7,M1,
77,506.8674349478424,Routing Start,Source_jobtype1_7,M1,
78,506.8674349478424,Part Completed,Source_jobtype1_7,Sink,
79,506.8674349478424,Part transferred,Source_jobtype1_8,M1,
80,506.8674349478424,Ops1-1 Start,Source_jobtype1_8,M1,
81,514.3791613842094,Ops1-1 Finish,Source_jobtype1_8,M1,
82,514.3791613842094,Routing Start,Source_jobtype1_8,M1,
83,514.3791613842094,Part Completed,Source_jobtype1_8,Sink,
84,514.3791613842094,Part transferred,Source_jobtype1_9,M1,
85,514.3791613842094,Ops1-1 Start,Source_jobtype1_9,M1,
86,531.6549369843295,Ops1-1 Finish,Source_jobtype1_9,M1,
87,531.6549369843295,Routing Start,Source_jobtype1_9,M1,
88,531.6549369843295,Part Completed,Source_jobtype1_9,Sink,
89,531.6549369843295,Part transferred,Source_jobtype1_10,M1,
90,531.6549369843295,Ops1-1 Start,Source_jobtype1_10,M1,
91,554.4687978953718,Ops1-1 Finish,Source_jobtype1_10,M1,
92,554.4687978953718,Routing Start,Source_jobtype1_10,M1,
93,554.4687978953718,Part Completed,Source_jobtype1_10,Sink,
94,554.4687978953718,Part transferred,Source_jobtype1_11,M1,
95,554.4687978953718,Ops1-1 Start,Source_jobtype1_11,M1,
96,556.3371175675616,Part Created,Source_jobtype1_13,Source_jobtype1,
97,556.3371175675616,Routing Start,Source_jobtype1_13,Source_jobtype1,
98,556.3371175675616,Routing Finish,Source_jobtype1_13,M1,
99,584.9155322883606,Ops1-1 Finish,Source_jobtype1_11,M1,
100,584.9155322883606,Routing Start,Source_jobtype1_11,M1,
101,584.9155322883606,Part Completed,Source_jobtype1_11,Sink,
102,584.9155322883606,Part transferred,Source_jobtype1_12,M1,
103,584.9155322883606,Ops1-1 Start,Source_jobtype1_12,M1,
104,596.0523253947952,Ops1-1 Finish,Source_jobtype1_12,M1,
105,596.0523253947952,Routing Start,Source_jobtype1_12,M1,
106,596.0523253947952,Part Completed,Source_jobtype1_12,Sink,
107,596.0523253947952,Part transferred,Source_jobtype1_13,M1,
108,596.0523253947952,Ops1-1 Start,Source_jobtype1_13,M1,
109,632.1537831464516,Ops1-1 Finish,Source_jobtype1_13,M1,
110,632.1537831464516,Routing Start,Source_jobtype1_13,M1,
111,632.1537831464516,Part Completed,Source_jobtype1_13,Sink,
112,648.6132782294163,Part Created,Source_jobtype1_14,Source_jobtype1,
113,648.6132782294163,Routing Start,Source_jobtype1_14,Source_jobtype1,
114,648.6132782294163,Routing Finish,Source_jobtype1_14,M1,
115,648.6132782294163,Part transferred,Source_jobtype1_14,M1,
116,648.6132782294163,Ops1-1 Start,Source_jobtype1_14,M1,
117,650.9914707172368,Ops1-1 Finish,Source_jobtype1_14,M1,
118,650.9914707172368,Routing Start,Source_jobtype1_14,M1,
119,650.9914707172368,Part Completed,Source_jobtype1_14,Sink,
120,702.4635615080019,Part Created,Source_jobtype1_15,Source_jobtype1,
121,702.4635615080019,Routing Start,Source_jobtype1_15,Source_jobtype1,
122,702.4635615080019,Routing Finish,Source_jobtype1_15,M1,
123,702.4635615080019,Part transferred,Source_jobtype1_15,M1,
124,702.4635615080019,Ops1-1 Start,Source_jobtype1_15,M1,
125,711.8116241068727,Ops1-1 Finish,Source_jobtype1_15,M1,
126,711.8116241068727,Routing Start,Source_jobtype1_15,M1,
127,711.8116241068727,Part Completed,Source_jobtype1_15,Sink,
128,758.5835427469785,Part Created,Source_jobtype1_16,Source_jobtype1,
129,758.5835427469785,Routing Start,Source_jobtype1_16,Source_jobtype1,
130,758.5835427469785,Routing Finish,Source_jobtype1_16,M1,
131,758.5835427469785,Part transferred,Source_jobtype1_16,M1,
132,758.5835427469785,Ops1-1 Start,Source_jobtype1_16,M1,
133,762.6193785997368,Part Created,Source_jobtype1_17,Source_jobtype1,
134,762.6193785997368,Routing Start,Source_jobtype1_17,Source_jobtype1,
135,762.6193785997368,Routing Finish,Source_jobtype1_17,M1,
136,907.2679324223251,Ops1-1 Finish,Source_jobtype1_16,M1,
137,907.2679324223251,Routing Start,Source_jobtype1_16,M1,
138,907.2679324223251,Part Completed,Source_jobtype1_16,Sink,
139,907.2679324223251,Part transferred,Source_jobtype1_17,M1,
140,907.2679324223251,Ops1-1 Start,Source_jobtype1_17,M1,
141,964.8571991474072,Part Created,Source_jobtype1_18,Source_jobtype1,
142,964.8571991474072,Routing Start,Source_jobtype1_18,Source_jobtype1,
143,964.8571991474072,Routing Finish,Source_jobtype1_18,M1,
144,986.6544707455326,Part Created,Source_jobtype1_19,Source_jobtype1,
145,986.6544707455326,Routing Start,Source_jobtype1_19,Source_jobtype1,
146,986.6544707455326,Routing Finish,Source_jobtype1_19,M1,
147,989.884511062969,Ops1-1 Finish,Source_jobtype1_17,M1,
148,989.884511062969,Routing Start,Source_jobtype1_17,M1,
149,989.884511062969,Part Completed,Source_jobtype1_17,Sink,
150,989.884511062969,Part transferred,Source_jobtype1_18,M1,
151,989.884511062969,Ops1-1 Start,Source_jobtype1_18,M1,
152,992.821109645683,Part Created,Source_jobtype1_20,Source_jobtype1,
153,992.821109645683,Routing Start,Source_jobtype1_20,Source_jobtype1,
154,992.821109645683,Routing Finish,Source_jobtype1_20,M1,
155,1027.6265602008068,Part Created,Source_jobtype1_21,Source_jobtype1,
156,1027.6265602008068,Routing Start,Source_jobtype1_21,Source_jobtype1,
157,1027.6265602008068,Routing Finish,Source_jobtype1_21,M1,
158,1035.4356942380737,Part Created,Source_jobtype1_22,Source_jobtype1,
159,1035.4356942380737,Routing Start,Source_jobtype1_22,Source_jobtype1,
160,1035.4356942380737,Routing Finish,Source_jobtype1_22,M1,
161,1047.5220492179021,Ops1-1 Finish,Source_jobtype1_18,M1,
162,1047.5220492179021,Routing Start,Source_jobtype1_18,M1,
163,1047.5220492179021,Part Completed,Source_jobtype1_18,Sink,
164,1047.5220492179021,Part transferred,Source_jobtype1_19,M1,
165,1047.5220492179021,Ops1-1 Start,Source_jobtype1_19,M1,
166,1049.271735290076,Ops1-1 Finish,Source_jobtype1_19,M1,
167,1049.271735290076,Routing Start,Source_jobtype1_19,M1,
168,1049.271735290076,Part Completed,Source_jobtype1_19,Sink,
169,1049.271735290076,Part transferred,Source_jobtype1_20,M1,
170,1049.271735290076,Ops1-1 Start,Source_jobtype1_20,M1,
171,1076.4485279261228,Part Created,Source_jobtype1_23,Source_jobtype1,
172,1076.4485279261228,Routing Start,Source_jobtype1_23,Source_jobtype1,
173,1076.4485279261228,Routing Finish,Source_jobtype1_23,M1,
174,1094.4159945365639,Part Created,Source_jobtype1_24,Source_jobtype1,
175,1094.4159945365639,Routing Start,Source_jobtype1_24,Source_jobtype1,
176,1094.4159945365639,Routing Finish,Source_jobtype1_24,M1,
177,1159.5913424504627,Part Created,Source_jobtype1_25,Source_jobtype1,
178,1159.5913424504627,Routing Start,Source_jobtype1_25,Source_jobtype1,
179,1159.5913424504627,Routing Finish,Source_jobtype1_25,M1,
180,1169.2928796597273,Ops1-1 Finish,Source_jobtype1_20,M1,
181,1169.2928796597273,Routing Start,Source_jobtype1_20,M1,
182,1169.2928796597273,Part Completed,Source_jobtype1_20,Sink,
183,1169.2928796597273,Part transferred,Source_jobtype1_21,M1,
184,1169.2928796597273,Ops1-1 Start,Source_jobtype1_21,M1,
185,1182.00413734992,Part Created,Source_jobtype1_26,Source_jobtype1,
186,1182.00413734992,Routing Start,Source_jobtype1_26,Source_jobtype1,
187,1182.00413734992,Routing Finish,Source_jobtype1_26,M1,
188,1205.9984244551888,Ops1-1 Finish,Source_jobtype1_21,M1,
189,1205.9984244551888,Routing Start,Source_jobtype1_21,M1,
190,1205.9984244551888,Part Completed,Source_jobtype1_21,Sink,
191,1205.9984244551888,Part transferred,Source_jobtype1_22,M1,
192,1205.9984244551888,Ops1-1 Start,Source_jobtype1_22,M1,
193,1216.217854430584,Ops1-1 Finish,Source_jobtype1_22,M1,
194,1216.217854430584,Routing Start,Source_jobtype1_22,M1,
195,1216.217854430584,Part Completed,Source_jobtype1_22,Sink,
196,1216.217854430584,Part transferred,Source_jobtype1_23,M1,
197,1216.217854430584,Ops1-1 Start,Source_jobtype1_23,M1,
198,1229.4775652288279,Part Created,Source_jobtype1_27,Source_jobtype1,
199,1229.4775652288279,Routing Start,Source_jobtype1_27,Source_jobtype1,
200,1229.4775652288279,Routing Finish,Source_jobtype1_27,M1,
201,1319.0122878571162,Part Created,Source_jobtype1_28,Source_jobtype1,
202,1319.0122878571162,Routing Start,Source_jobtype1_28,Source_jobtype1,
203,1319.0122878571162,Routing Finish,Source_jobtype1_28,M1,
204,1390.8582110673954,Ops1-1 Finish,Source_jobtype1_23,M1,
205,1390.8582110673954,Routing Start,Source_jobtype1_23,M1,
206,1390.8582110673954,Part Completed,Source_jobtype1_23,Sink,
207,1390.8582110673954,Part transferred,Source_jobtype1_24,M1,
208,1390.8582110673954,Ops1-1 Start,Source_jobtype1_24,M1,
209,1487.3179530146112,Part Created,Source_jobtype1_29,Source_jobtype1,
210,1487.3179530146112,Routing Start,Source_jobtype1_29,Source_jobtype1,
211,1487.3179530146112,Routing Finish,Source_jobtype1_29,M1,
212,1503.4658109441052,Ops1-1 Finish,Source_jobtype1_24,M1,
213,1503.4658109441052,Routing Start,Source_jobtype1_24,M1,
214,1503.4658109441052,Part Completed,Source_jobtype1_24,Sink,
215,1503.4658109441052,Part transferred,Source_jobtype1_25,M1,
216,1503.4658109441052,Ops1-1 Start,Source_jobtype1_25,M1,
217,1541.9812177576077,Part Created,Source_jobtype1_30,Source_jobtype1,
218,1541.9812177576077,Routing Start,Source_jobtype1_30,Source_jobtype1,
219,1541.9812177576077,Routing Finish,Source_jobtype1_30,M1,
220,1547.5405452947946,Part Created,Source_jobtype1_31,Source_jobtype1,
221,1547.5405452947946,Routing Start,Source_jobtype1_31,Source_jobtype1,
222,1547.5405452947946,Routing Finish,Source_jobtype1_31,M1,
223,1560.6286269726706,Part Created,Source_jobtype1_32,Source_jobtype1,
224,1560.6286269726706,Routing Start,Source_jobtype1_32,Source_jobtype1,
225,1560.6286269726706,Routing Finish,Source_jobtype1_32,M1,
226,1563.4055449138805,Part Created,Source_jobtype1_33,Source_jobtype1,
227,1563.4055449138805,Routing Start,Source_jobtype1_33,Source_jobtype1,
228,1563.4055449138805,Routing Finish,Source_jobtype1_33,M1,
229,1587.0174701220658,Part Created,Source_jobtype1_34,Source_jobtype1,
230,1587.0174701220658,Routing Start,Source_jobtype1_34,Source_jobtype1,
231,1587.0174701220658,Routing Finish,Source_jobtype1_34,M1,
232,1616.5452876297188,Part Created,Source_jobtype1_35,Source_jobtype1,
233,1616.5452876297188,Routing Start,Source_jobtype1_35,Source_jobtype1,
234,1616.5452876297188,Routing Finish,Source_jobtype1_35,M1,
235,1630.9375799075756,Ops1-1 Finish,Source_jobtype1_25,M1,
236,1630.9375799075756,Routing Start,Source_jobtype1_25,M1,
237,1630.9375799075756,Part Completed,Source_jobtype1_25,Sink,
238,1630.9375799075756,Part transferred,Source_jobtype1_26,M1,
239,1630.9375799075756,Ops1-1 Start,Source_jobtype1_26,M1,
240,1635.5389142222484,Part Created,Source_jobtype1_36,Source_jobtype1,
241,1635.5389142222484,Routing Start,Source_jobtype1_36,Source_jobtype1,
242,1635.5389142222484,Routing Finish,Source_jobtype1_36,M1,
243,1662.0125341940407,Part Created,Source_jobtype1_37,Source_jobtype1,
244,1662.0125341940407,Routing Start,Source_jobtype1_37,Source_jobtype1,
245,1662.0125341940407,Routing Finish,Source_jobtype1_37,M1,
246,1681.8007046020957,Part Created,Source_jobtype1_38,Source_jobtype1,
247,1681.8007046020957,Routing Start,Source_jobtype1_38,Source_jobtype1,
248,1681.8007046020957,Routing Finish,Source_jobtype1_38,M1,
249,1719.1654731696224,Ops1-1 Finish,Source_jobtype1_26,M1,
250,1719.1654731696224,Routing Start,Source_jobtype1_26,M1,
251,1719.1654731696224,Part Completed,Source_jobtype1_26,Sink,
252,1719.1654731696224,Part transferred,Source_jobtype1_27,M1,
253,1719.1654731696224,Ops1-1 Start,Source_jobtype1_27,M1,
254,1726.7603805606539,Ops1-1 Finish,Source_jobtype1_27,M1,
255,1726.7603805606539,Routing Start,Source_jobtype1_27,M1,
256,1726.7603805606539,Part Completed,Source_jobtype1_27,Sink,
257,1726.7603805606539,Part transferred,Source_jobtype1_28,M1,
258,1726.7603805606539,Ops1-1 Start,Source_jobtype1_28,M1,
259,1728.7451295945605,Part Created,Source_jobtype1_39,Source_jobtype1,
260,1728.7451295945605,Routing Start,Source_jobtype1_39,Source_jobtype1,
261,1728.7451295945605,Routing Finish,Source_jobtype1_39,M1,
262,1733.393681723239,Part Created,Source_jobtype1_40,Source_jobtype1,
263,1733.393681723239,Routing Start,Source_jobtype1_40,Source_jobtype1,
264,1733.393681723239,Routing Finish,Source_jobtype1_40,M1,
265,1807.7845603493904,Ops1-1 Finish,Source_jobtype1_28,M1,
266,1807.7845603493904,Routing Start,Source_jobtype1_28,M1,
267,1807.7845603493904,Part Completed,Source_jobtype1_28,Sink,
268,1807.7845603493904,Part transferred,Source_jobtype1_29,M1,
269,1807.7845603493904,Ops1-1 Start,Source_jobtype1_29,M1,
270,1881.7587491614659,Ops1-1 Finish,Source_jobtype1_29,M1,
271,1881.7587491614659,Routing Start,Source_jobtype1_29,M1,
272,1881.7587491614659,Part Completed,Source_jobtype1_29,Sink,
273,1881.7587491614659,Part transferred,Source_jobtype1_30,M1,
274,1881.7587491614659,Ops1-1 Start,Source_jobtype1_30,M1,
275,1892.83572118676,Ops1-1 Finish,Source_jobtype1_30,M1,
276,1892.83572118676,Routing Start,Source_jobtype1_30,M1,
277,1892.83572118676,Part Completed,Source_jobtype1_30,Sink,
278,1892.83572118676,Part transferred,Source_jobtype1_31,M1,
279,1892.83572118676,Ops1-1 Start,Source_jobtype1_31,M1,
280,1893.112592205557,Ops1-1 Finish,Source_jobtype1_31,M1,
281,1893.112592205557,Routing Start,Source_jobtype1_31,M1,
282,1893.112592205557,Part Completed,Source_jobtype1_31,Sink,
283,1893.112592205557,Part transferred,Source_jobtype1_32,M1,
284,1893.112592205557,Ops1-1 Start,Source_jobtype1_32,M1,
285,1977.607431079863,Ops1-1 Finish,Source_jobtype1_32,M1,
286,1977.607431079863,Routing Start,Source_jobtype1_32,M1,
287,1977.607431079863,Part Completed,Source_jobtype1_32,Sink,
288,1977.607431079863,Part transferred,Source_jobtype1_33,M1,
289,1977.607431079863,Ops1-1 Start,Source_jobtype1_33,M1,
290,1993.4424620984782,Part Created,Source_jobtype1_41,Source_jobtype1,
291,1993.4424620984782,Routing Start,Source_jobtype1_41,Source_jobtype1,
292,1993.4424620984782,Routing Finish,Source_jobtype1_41,M1,
293,2038.9622264492152,Ops1-1 Finish,Source_jobtype1_33,M1,
294,2038.9622264492152,Routing Start,Source_jobtype1_33,M1,
295,2038.9622264492152,Part Completed,Source_jobtype1_33,Sink,
296,2038.9622264492152,Part transferred,Source_jobtype1_34,M1,
297,2038.9622264492152,Ops1-1 Start,Source_jobtype1_34,M1,
298,2071.7822366257583,Part Created,Source_jobtype1_42,Source_jobtype1,
299,2071.7822366257583,Routing Start,Source_jobtype1_42,Source_jobtype1,
300,2071.7822366257583,Routing Finish,Source_jobtype1_42,M1,
301,2076.397992556586,Part Created,Source_jobtype1_43,Source_jobtype1,
302,2076.397992556586,Routing Start,Source_jobtype1_43,Source_jobtype1,
303,2076.397992556586,Routing Finish,Source_jobtype1_43,M1,
304,2103.0315529015597,Part Created,Source_jobtype1_44,Source_jobtype1,
305,2103.0315529015597,Routing Start,Source_jobtype1_44,Source_jobtype1,
306,2103.0315529015597,Routing Finish,Source_jobtype1_44,M1,
307,2110.420559177827,Part Created,Source_jobtype1_45,Source_jobtype1,
308,2110.420559177827,Routing Start,Source_jobtype1_45,Source_jobtype1,
309,2110.420559177827,Routing Finish,Source_jobtype1_45,M1,
310,2112.722952751391,Ops1-1 Finish,Source_jobtype1_34,M1,
311,2112.722952751391,Routing Start,Source_jobtype1_34,M1,
312,2112.722952751391,Part Completed,Source_jobtype1_34,Sink,
313,2112.722952751391,Part transferred,Source_jobtype1_35,M1,
314,2112.722952751391,Ops1-1 Start,Source_jobtype1_35,M1,
315,2161.5380123370096,Ops1-1 Finish,Source_jobtype1_35,M1,
316,2161.5380123370096,Routing Start,Source_jobtype1_35,M1,
317,2161.5380123370096,Part Completed,Source_jobtype1_35,Sink,
318,2161.5380123370096,Part transferred,Source_jobtype1_36,M1,
319,2161.5380123370096,Ops1-1 Start,Source_jobtype1_36,M1,
320,2181.6289523995747,Ops1-1 Finish,Source_jobtype1_36,M1,
321,2181.6289523995747,Routing Start,Source_jobtype1_36,M1,
322,2181.6289523995747,Part Completed,Source_jobtype1_36,Sink,
323,2181.6289523995747,Part transferred,Source_jobtype1_37,M1,
324,2181.6289523995747,Ops1-1 Start,Source_jobtype1_37,M1,
325,2184.912355689814,Ops1-1 Finish,Source_jobtype1_37,M1,
326,2184.912355689814,Routing Start,Source_jobtype1_37,M1,
327,2184.912355689814,Part Completed,Source_jobtype1_37,Sink,
328,2184.912355689814,Part transferred,Source_jobtype1_38,M1,
329,2184.912355689814,Ops1-1 Start,Source_jobtype1_38,M1,
330,2203.536773210332,Ops1-1 Finish,Source_jobtype1_38,M1,
331,2203.536773210332,Routing Start,Source_jobtype1_38,M1,
332,2203.536773210332,Part Completed,Source_jobtype1_38,Sink,
333,2203.536773210332,Part transferred,Source_jobtype1_39,M1,
334,2203.536773210332,Ops1-1 Start,Source_jobtype1_39,M1,
335,2223.2024838695384,Ops1-1 Finish,Source_jobtype1_39,M1,
336,2223.2024838695384,Routing Start,Source_jobtype1_39,M1,
337,2223.2024838695384,Part Completed,Source_jobtype1_39,Sink,
338,2223.2024838695384,Part transferred,Source_jobtype1_40,M1,
339,2223.2024838695384,Ops1-1 Start,Source_jobtype1_40,M1,
340,2229.73233347732,Part Created,Source_jobtype1_46,Source_jobtype1,
341,2229.73233347732,Routing Start,Source_jobtype1_46,Source_jobtype1,
342,2229.73233347732,Routing Finish,Source_jobtype1_46,M1,
343,2288.5962730674255,Ops1-1 Finish,Source_jobtype1_40,M1,
344,2288.5962730674255,Routing Start,Source_jobtype1_40,M1,
345,2288.5962730674255,Part Completed,Source_jobtype1_40,Sink,
346,2288.5962730674255,Part transferred,Source_jobtype1_41,M1,
347,2288.5962730674255,Ops1-1 Start,Source_jobtype1_41,M1,
348,2290.6256950128814,Part Created,Source_jobtype1_47,Source_jobtype1,
349,2290.6256950128814,Routing Start,Source_jobtype1_47,Source_jobtype1,
350,2290.6256950128814,Routing Finish,Source_jobtype1_47,M1,
351,2328.96966301546,Part Created,Source_jobtype1_48,Source_jobtype1,
352,2328.96966301546,Routing Start,Source_jobtype1_48,Source_jobtype1,
353,2328.96966301546,Routing Finish,Source_jobtype1_48,M1,
354,2336.61200663239,Part Created,Source_jobtype1_49,Source_jobtype1,
355,2336.61200663239,Routing Start,Source_jobtype1_49,Source_jobtype1,
356,2336.61200663239,Routing Finish,Source_jobtype1_49,M1,
357,2397.7088686875013,Ops1-1 Finish,Source_jobtype1_41,M1,
358,2397.7088686875013,Routing Start,Source_jobtype1_41,M1,
359,2397.7088686875013,Part Completed,Source_jobtype1_41,Sink,
360,2397.7088686875013,Part transferred,Source_jobtype1_42,M1,
361,2397.7088686875013,Ops1-1 Start,Source_jobtype1_42,M1,
362,2411.559587291386,Part Created,Source_jobtype1_50,Source_jobtype1,
363,2411.559587291386,Routing Start,Source_jobtype1_50,Source_jobtype1,
364,2411.559587291386,Routing Finish,Source_jobtype1_50,M1,
365,2460.9928369845356,Part Created,Source_jobtype1_51,Source_jobtype1,
366,2460.9928369845356,Routing Start,Source_jobtype1_51,Source_jobtype1,
367,2460.9928369845356,Routing Finish,Source_jobtype1_51,M1,
368,2469.2285063413447,Ops1-1 Finish,Source_jobtype1_42,M1,
369,2469.2285063413447,Routing Start,Source_jobtype1_42,M1,
370,2469.2285063413447,Part Completed,Source_jobtype1_42,Sink,
371,2469.2285063413447,Part transferred,Source_jobtype1_43,M1,
372,2469.2285063413447,Ops1-1 Start,Source_jobtype1_43,M1,
373,2503.2692429168587,Ops1-1 Finish,Source_jobtype1_43,M1,
374,2503.2692429168587,Routing Start,Source_jobtype1_43,M1,
375,2503.2692429168587,Part Completed,Source_jobtype1_43,Sink,
376,2503.2692429168587,Part transferred,Source_jobtype1_44,M1,
377,2503.2692429168587,Ops1-1 Start,Source_jobtype1_44,M1,
378,2540.253184855722,Ops1-1 Finish,Source_jobtype1_44,M1,
379,2540.253184855722,Routing Start,Source_jobtype1_44,M1,
380,2540.253184855722,Part Completed,Source_jobtype1_44,Sink,
381,2540.253184855722,Part transferred,Source_jobtype1_45,M1,
382,2540.253184855722,Ops1-1 Start,Source_jobtype1_45,M1,
383,2549.4262349878177,Part Created,Source_jobtype1_52,Source_jobtype1,
384,2549.4262349878177,Routing Start,Source_jobtype1_52,Source_jobtype1,
385,2549.4262349878177,Routing Finish,Source_jobtype1_52,M1,
386,2550.9711014272243,Part Created,Source_jobtype1_53,Source_jobtype1,
387,2550.9711014272243,Routing Start,Source_jobtype1_53,Source_jobtype1,
388,2550.9711014272243,Routing Finish,Source_jobtype1_53,M1,
389,2557.821147538736,Part Created,Source_jobtype1_54,Source_jobtype1,
390,2557.821147538736,Routing Start,Source_jobtype1_54,Source_jobtype1,
391,2557.821147538736,Routing Finish,Source_jobtype1_54,M1,
392,2559.7371684163195,Part Created,Source_jobtype1_55,Source_jobtype1,
393,2559.7371684163195,Routing Start,Source_jobtype1_55,Source_jobtype1,
394,2559.7371684163195,Routing Finish,Source_jobtype1_55,M1,
395,2568.143894551143,Ops1-1 Finish,Source_jobtype1_45,M1,
396,2568.143894551143,Routing Start,Source_jobtype1_45,M1,
397,2568.143894551143,Part Completed,Source_jobtype1_45,Sink,
398,2568.143894551143,Part transferred,Source_jobtype1_46,M1,
399,2568.143894551143,Ops1-1 Start,Source_jobtype1_46,M1,
400,2587.0137299908984,Ops1-1 Finish,Source_jobtype1_46,M1,
401,2587.0137299908984,Routing Start,Source_jobtype1_46,M1,
402,2587.0137299908984,Part Completed,Source_jobtype1_46,Sink,
403,2587.0137299908984,Part transferred,Source_jobtype1_47,M1,
404,2587.0137299908984,Ops1-1 Start,Source_jobtype1_47,M1,
405,2620.4409414719726,Part Created,Source_jobtype1_56,Source_jobtype1,
406,2620.4409414719726,Routing Start,Source_jobtype1_56,Source_jobtype1,
407,2620.4409414719726,Routing Finish,Source_jobtype1_56,M1,
